idOri;nameOri;idDes;nameDes;transportMode;notes
20985;Paris;23083;New York-Newark;11;Concorde
20985;Paris;23083;New York-Newark;1;air
22860;London;23083;New York-Newark;11;Concorde
22860;London;23083;New York-Newark;1;air
204296;Berlin;22860;London;1;air
