ID,STATUT,cityCode,INSEE_ARR,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,TYPE,cityName,latitude,longitude,radius
COMMUNE__FRC000009754706,Commune simple,19237,2,19,75,200066751,SAINT PRIVAT,1075,COM,Saint-Privat,2.07663,45.136501,
COMMUNE__FRC000009754091,Commune simple,19082,2,19,75,241927201,FAVARS,1072,COM,Favars,1.670723,45.2639,
COMMUNE__FRC000009753841,Commune simple,19176,3,19,75,241900133,ROSIERS D EGLETONS,1070,COM,Rosiers-d'Égletons,2.011076,45.388385,
COMMUNE__FRC000009754528,Commune simple,19030,1,19,75,200043172,BRIGNAC LA PLAINE,980,COM,Brignac-la-Plaine,1.333372,45.176527,
COMMUNE__FRC000009754299,Commune simple,19211,2,19,75,241927201,SAINT HILAIRE PEYROUX,978,COM,Saint-Hilaire-Peyroux,1.642046,45.211488,
COMMUNE__FRC002200276498,Commune simple,19098,2,19,75,241927201,LAGARDE MARC LA TOUR,978,COM,Lagarde-Marc-la-Tour,1.825583,45.188553,
COMMUNE__FRC000009754720,Commune simple,19093,1,19,75,200043172,JUGEALS NAZARETH,972,COM,Jugeals-Nazareth,1.5538,45.088522,
COMMUNE__FRC000009754095,Commune simple,19178,1,19,75,200043172,SADROC,937,COM,Sadroc,1.549847,45.274632,
COMMUNE__FRC000009754519,Commune simple,19013,1,19,75,200066769,AUBAZINES,914,COM,Aubazines,1.685988,45.186273,
COMMUNE__FRC000009754722,Commune simple,19151,1,19,75,200043172,NOAILLES,910,COM,Noailles,1.518651,45.098458,
COMMUNE__FRC000009755120,Commune simple,19007,1,19,75,200066769,ALTILLAC,861,COM,Altillac,1.868875,44.980865,
COMMUNE__FRC000009753854,Commune simple,19243,1,19,75,200066603,SAINT SORNIN LAVOLPS,858,COM,Saint-Sornin-Lavolps,1.371218,45.37429,
COMMUNE__FRC000009753607,Commune simple,19252,3,19,75,200066744,SARROUX SAINT JULIEN,851,COM,Sarroux - Saint Julien,2.449741,45.431475,
COMMUNE__FRC000009752358,Commune simple,19164,3,19,75,200066744,PEYRELEVADE,850,COM,Peyrelevade,2.037329,45.710486,
COMMUNE__FRC000009754938,Commune simple,19273,1,19,75,200043172,TURENNE,838,COM,Turenne,1.571346,45.061144,
COMMUNE__FRC000009753393,Commune simple,19118,2,19,75,241927201,LONZAC,805,COM,Le Lonzac,1.730329,45.4698,
COMMUNE__FRC000009752895,Commune simple,19033,3,19,75,200066744,BUGEAT,803,COM,Bugeat,1.930182,45.590036,
COMMUNE__FRC000009754085,Commune simple,19085,2,19,75,241927201,GIMEL LES CASCADES,794,COM,Gimel-les-Cascades,1.843026,45.304285,
COMMUNE__FRC000009754285,Commune simple,19125,3,19,75,241900133,MARCILLAC LA CROISILLE,794,COM,Marcillac-la-Croisille,2.034321,45.252922,
COMMUNE__FRC000009754306,Commune simple,19182,1,19,75,200043172,SAINT AULAIRE,779,COM,Saint-Aulaire,1.388582,45.23652,
COMMUNE__FRC000009754724,Commune simple,19049,1,19,75,200043172,CHASTEAUX,762,COM,Chasteaux,1.467535,45.082902,
COMMUNE__FRC000009752355,Commune simple,19261,3,19,75,200066744,SORNAC,759,COM,Sornac,2.180814,45.669387,
COMMUNE__FRC000009754715,Commune simple,19004,2,19,75,200066751,ALBUSSAC,731,COM,Albussac,1.813903,45.141402,
COMMUNE__FRC000009754723,Commune simple,19117,1,19,75,200043172,LISSAC SUR COUZE,730,COM,Lissac-sur-Couze,1.459758,45.110415,
COMMUNE__FRC000009754518,Commune simple,19068,1,19,75,200043172,DAMPNIAT,727,COM,Dampniat,1.637918,45.164188,
COMMUNE__FRC000009752606,Commune simple,19134,3,19,75,200066744,MERLINES,718,COM,Merlines,2.458423,45.6257,
COMMUNE__FRC000009754311,Commune simple,19015,1,19,75,200043172,AYEN,714,COM,Ayen,1.324149,45.254553,
