index,countryCode,countryName,cityCode,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST
583,170,Colombia,20833,Pereira,4.81333,-75.69611,,,
584,170,Colombia,20838,Santa Marta,11.24079,-74.19904,,,
585,170,Colombia,20844,Valledupar,10.46314,-73.25322,,,
586,170,Colombia,20845,Villavicencio,4.142,-73.62664,,,
587,178,Congo,20848,Brazzaville,-4.26583,15.28318,,,
588,178,Congo,20849,Pointe-Noire,-4.77609,11.86352,,,
589,188,Costa Rica,20861,San José,9.927817,-84.080685,,,
590,384,Côte d'Ivoire,21602,Abidjan,5.345339,-4.026789,,,
591,384,Côte d'Ivoire,21603,Bouake,7.69385,-5.03031,,,
592,384,Côte d'Ivoire,23547,San Pedro,4.7333333,-6.6166667,,,
593,191,Croatia,20865,Zagreb,45.81444,15.97798,,,
594,192,Cuba,20867,Camaguey,21.38083,-77.91694,,,
595,192,Cuba,20871,Holguin,20.88722,-76.26306,,,
596,192,Cuba,20870,La Habana (Havana),23.119541,-82.378493,,,
597,192,Cuba,20876,Santiago de Cuba,20.02472,-75.82194,,,
598,203,Czech Republic,20881,Brno,49.19522,16.60796,,,
599,203,Czech Republic,20887,Praha (Prague),50.08804,14.42076,,,
600,408,Dem. People's Republic of Korea,21713,Chongjin,41.79556,129.77583,,,
601,408,Dem. People's Republic of Korea,21715,Hamhung,39.91833,127.53639,,,
602,408,Dem. People's Republic of Korea,21722,P'yongyang,39.03385,125.75432,,,
603,408,Dem. People's Republic of Korea,21724,Sinuiju,40.10056,124.39806,,,
604,408,Dem. People's Republic of Korea,21725,Wonsan,39.15278,127.44361,,,
605,180,Democratic Republic of the Congo,20850,Bukavu,-2.50833,28.86083,,,
606,180,Democratic Republic of the Congo,205455,Bunia,1.566666667,30.25,,,
607,180,Democratic Republic of the Congo,205453,Goma,-1.679166667,29.22277778,,,
608,180,Democratic Republic of the Congo,20851,Kananga,-5.89624,22.41659,,,
609,180,Democratic Republic of the Congo,20852,Kikwit,-5.04098,18.81619,,,
610,180,Democratic Republic of the Congo,20853,Kinshasa,-4.32758,15.31357,,,
611,180,Democratic Republic of the Congo,20854,Kisangani,0.51667,25.2,,,
612,180,Democratic Republic of the Congo,23555,Kolwezi,-10.71484,25.46674,,,
613,180,Democratic Republic of the Congo,20855,Likasi,-10.98139,26.73333,,,
614,180,Democratic Republic of the Congo,20856,Lubumbashi,-11.66089,27.47938,,,
615,180,Democratic Republic of the Congo,20857,Matadi,-5.8177,13.4717,,,
616,180,Democratic Republic of the Congo,20858,Mbandaka,0.04865,18.26034,,,
617,180,Democratic Republic of the Congo,20859,Mbuji-Mayi,-6.15,23.6,,,
618,180,Democratic Republic of the Congo,204243,Tshikapa,-6.41621,20.79995,,,
619,180,Democratic Republic of the Congo,205454,Uvira,-3.39534,29.13779,,,
620,208,Denmark,20894,København (Copenhagen),55.67594,12.56553,,,
621,262,Djibouti,21005,Djibouti,11.58767,43.14468,,,
622,214,Dominican Republic,20897,Santiago,19.460205,-70.699686,,,
623,214,Dominican Republic,20898,Santo Domingo,18.489591,-69.901805,,,
624,218,Ecuador,20900,Cuenca,-2.88333,-78.98333,,,
625,218,Ecuador,20903,Guayaquil,-2.16667,-79.9,,,
626,218,Ecuador,20910,Quito,-0.22985,-78.52495,,,
627,218,Ecuador,20912,Santo Domingo,-0.253431,-79.169555,,,
628,818,Egypt,22814,Al-Fayyum,29.30995,30.8418,,,
629,818,Egypt,22804,Al-Iskandariyah (Alexandria),31.192471,29.904596,,,
630,818,Egypt,22815,Al-Ismailiyah,30.60427,32.27225,,,
631,818,Egypt,22806,Al-Mahallah al-Kubra,30.9745,31.16499,,,
632,818,Egypt,22819,Al-Mansurah,31.03637,31.38069,,,
633,818,Egypt,22812,Al-Qahirah (Cairo),30.039173,31.239411,,,
634,818,Egypt,22827,As-Suways,29.968133,32.547497,,,
635,818,Egypt,22808,Aswan,24.09343,32.90704,,,
636,818,Egypt,22807,Asyut,27.18096,31.18368,,,
637,818,Egypt,22829,Az-Zaqazig,30.5875,31.50194444,,,
638,818,Egypt,22823,Bur Sa'id,31.25654,32.28412,,,
639,818,Egypt,22816,Kafr-ad-Dawwar,31.13385,30.12843,,,
640,818,Egypt,22828,Tanta,30.787176,30.999539,,,
641,222,El Salvador,20917,San Salvador,13.68935,-89.18718,,,
642,232,Eritrea,20931,Asmara,15.33333,38.93333,,,
643,233,Estonia,20932,Tallinn,59.43696,24.75353,,,
644,231,Ethiopia,20921,Addis Ababa,9.02497,38.74689,,,
645,231,Ethiopia,20929,Mekele,13.49667,39.47528,,,
646,246,Finland,20937,Helsinki,60.169246,24.940216,,,
647,246,Finland,20942,Tampere,61.49911,23.78712,,,
654,250,France,20972,Lyon,45.74846,4.84671,,1970,1983
659,250,France,20985,Paris,48.85341,2.3488,,1968,1983
657,250,France,20981,Nantes,47.21725,-1.55336,,1989,1990
666,250,France,20998,Tours,47.38333,0.68333,,1974,1990
651,250,France,20960,Douai-Lens,50.368243,3.079497,,1968,1993
653,250,France,20969,Lille,50.63297,3.05858,,1968,1993
648,250,France,20948,Avignon,43.94834,4.80892,,1970,2001
655,250,France,20973,Marseille-Aix-en-Provence,43.528414,5.443298,,1970,2001
656,250,France,20978,Montpellier,43.61092,3.87723,,1973,2001
663,250,France,20994,Strasbourg,48.58342,7.74296,,1977,2016
650,250,France,20952,Bordeaux,44.84044,-0.5805,,1981,2017
660,250,France,20990,Rennes,48.11198,-1.67429,,1980,2017
649,250,France,20951,Béthune,50.53333,2.63333,,1968,
652,250,France,20963,Grenoble,45.16667,5.71667,,1976,
658,250,France,20982,Nice-Cannes,43.6646,7.15339,,1973,
661,250,France,20991,Rouen,49.44313,1.09932,,1972,
662,250,France,20992,Saint-Étienne,45.43333,4.4,,1970,
664,250,France,20996,Toulon,43.123989,5.933225,,1975,
665,250,France,20997,Toulouse,43.60426,1.44367,,1979,
667,250,France,21001,Valenciennes,50.35,3.53333,,1972,
668,266,Gabon,21006,Libreville,0.3925,9.45365,,,
669,270,Gambia,21012,Banjul,13.453099,-16.679433,,,
670,268,Georgia,21011,Tbilisi,41.69411,44.83368,,,
671,276,Germany,204296,Berlin,52.52437,13.41053,,,
672,276,Germany,204297,Bielefeld,52.03333,8.53333,,,
673,276,Germany,204298,Bochum,51.48333,7.21667,,,
674,276,Germany,204299,Bonn,50.73438,7.09548,,,
675,276,Germany,204303,Bremen,53.07516,8.80777,,,
676,276,Germany,204310,Dortmund,51.51667,7.45,,,
677,276,Germany,204437,Dresden,51.05089,13.73832,,,
678,276,Germany,204312,Duesseldorf,51.22172,6.77616,,,
679,276,Germany,204311,Duisburg,51.43333,6.75,,,
680,276,Germany,204316,Essen,51.45374,7.010388,,,
681,276,Germany,204332,Frankfurt am Main,50.11667,8.68333,,,
682,276,Germany,204341,Hamburg,53.55,10,,,
683,276,Germany,204343,Hannover,52.37052,9.73322,,,
684,276,Germany,204352,Karlsruhe,49.00472,8.38583,,,
685,276,Germany,204358,Köln (Cologne),50.93333,6.95,,,
686,276,Germany,204439,Leipzig,51.33962,12.37129,,,
687,276,Germany,204367,Mannheim,49.48833,8.46472,,,
688,276,Germany,204372,Muenster (Westfalen),51.96236,7.62571,,,
689,276,Germany,204371,München (Munich),48.137076,11.573377,,,
690,276,Germany,204376,Nurenberg,49.450418,11.075791,,,
691,276,Germany,204397,Stuttgart,48.78232,9.17702,,,
692,276,Germany,204410,Wuppertal,51.26667,7.18333,,,
693,288,Ghana,21107,Accra,5.55602,-0.1969,,,
694,288,Ghana,21108,Kumasi,6.68848,-1.62443,,,
695,288,Ghana,21109,Sekondi Takoradi,4.934,-1.7137,,,
696,288,Ghana,21110,Tamale,9.40078,-0.8393,,,
697,300,Greece,21113,Athínai (Athens),37.95342,23.74897,,,
698,300,Greece,21117,Thessaloniki,40.64028,22.94389,,,
699,320,Guatemala,21124,Ciudad de Guatemala (Guatemala City),14.612652,-90.530746,,,
700,324,Guinea,21126,Conakry,9.571642,-13.647602,,,
701,324,Guinea,21130,Nzérékoré,7.75624,-8.8179,,,
702,624,Guinea-Bissau,22171,Bissau,11.86357,-15.59767,,,
703,332,Haiti,21133,Port-au-Prince,18.53917,-72.335,,,
704,340,Honduras,23503,Choloma,15.61444,-87.95302,,,
705,340,Honduras,21135,San Pedro Sula,15.5,-88.03333,,,
706,340,Honduras,21136,Tegucigalpa,14.0818,-87.20681,,,
707,348,Hungary,21138,Budapest,47.49801,19.03991,,,
708,356,India,21150,Agartala,23.83639,91.275,,,
709,356,India,21151,Agra,27.18333,78.01667,,,
710,356,India,21152,Ahmadabad,23.03333,72.61667,,,
711,356,India,21153,Ahmadnagar,19.08333,74.73333,,,
712,356,India,21154,Aizawl,23.72444,92.7175,,,
713,356,India,21155,Ajmer,26.45,74.63333,,,
714,356,India,21156,Akola,20.73333,77,,,
715,356,India,21158,Aligarh,27.88333,78.08333,,,
716,356,India,21160,Allahabad,25.45,81.85,,,
717,356,India,21161,Alwar,27.56246,76.625,,,
718,356,India,21163,Amravati,20.93333,77.75,,,
719,356,India,21164,Amritsar,31.630953,74.875536,,,
720,356,India,21166,Anand,22.56667,72.93333,,,
721,356,India,21167,Anantapur,14.68333,77.6,,,
