index,countryCode,countryName,cityCode,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST
212,156,China,20484,Chongqing,29.56278,106.55278,NA,NA,NA
213,156,China,20485,Chuxiong,25.044539,101.541009,NA,NA,NA
214,156,China,20486,Chuzhou,32.29853,118.316399,NA,NA,NA
215,156,China,23595,Cixi,30.176116,121.252392,NA,NA,NA
216,156,China,23869,Dafeng,33.196372,120.456129,NA,NA,NA
217,156,China,20488,Dali,25.590024,100.223521,NA,NA,NA
218,156,China,20489,Dalian,38.913811,121.602322,NA,NA,NA
219,156,China,20490,Dandong,40.119831,124.373852,NA,NA,NA
220,156,China,23864,Danyang,32.000797,119.574455,NA,NA,NA
221,156,China,20493,Daqing,46.58333,125,NA,NA,NA
222,156,China,23871,Dashiqiao,40.63732,122.50251,NA,NA,NA
223,156,China,20494,Datong,40.080522,113.293045,NA,NA,NA
225,156,China,205677,Dazhou,31.21592,107.50092,NA,NA,NA
226,156,China,23600,Dengfeng,34.45528,113.02806,NA,NA,NA
227,156,China,23601,Dengzhou,32.68222,112.08194,NA,NA,NA
228,156,China,23603,Deyang,31.13019,104.38198,NA,NA,NA
229,156,China,20497,Dezhou,37.451765,116.300973,NA,NA,NA
230,156,China,23606,Donggang,39.883429,124.146248,NA,NA,NA
231,156,China,20499,Dongguan,23.02116,113.741411,NA,NA,NA
232,156,China,23607,Dongtai,32.85231,120.30947,NA,NA,NA
234,156,China,23610,Dongying,37.453273,118.578519,NA,NA,NA
235,156,China,23611,Dujiangyan,30.996625,103.628081,NA,NA,NA
236,156,China,23612,Enshi,30.290188,109.47854,NA,NA,NA
237,156,China,205656,Erduosi (Ordoss),39.591741,109.766573,NA,NA,NA
238,156,China,23613,Ezhou,30.400061,114.884582,NA,NA,NA
239,156,China,23880,Fangchenggang,21.765917,108.35395,NA,NA,NA
240,156,China,23614,Feicheng,36.185412,116.767394,NA,NA,NA
241,156,China,23615,Fengcheng,28.178737,115.775836,NA,NA,NA
243,156,China,23617,Fuan,27.088055,119.645351,NA,NA,NA
244,156,China,23619,Fuqing,25.725,119.37944,NA,NA,NA
245,156,China,20509,Fushun Liaoning,41.880737,123.946698,NA,NA,NA
246,156,China,20510,Fuxin,42.01556,121.65889,NA,NA,NA
247,156,China,20511,Fuyang,32.889497,115.815213,NA,NA,NA
248,156,China,23620,Fuyang,30.058484,119.943957,NA,NA,NA
249,156,China,20513,Fuzhou Fujian,26.075352,119.298946,NA,NA,NA
250,156,China,20514,Fuzhou Jiangxi,27.98119,116.355676,NA,NA,NA
251,156,China,20515,Ganzhou,25.85,114.93333,NA,NA,NA
252,156,China,23621,Gaoan,28.427086,115.3722,NA,NA,NA
253,156,China,23622,Gaocheng,38.023261,114.840049,NA,NA,NA
254,156,China,23623,Gaomi,36.38333,119.75278,NA,NA,NA
255,156,China,23627,Gaoyou,32.779085,119.447041,NA,NA,NA
256,156,China,23862,Gaozhou,21.915852,110.849874,NA,NA,NA
257,156,China,23628,Gongyi,34.76,112.97139,NA,NA,NA
