cityCode,index,countryCode,countryName,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20493,221,156,China,Daqing,46.58333,125,NA,NA,NA,221,181,216,259,309,370,442,529,633,757,905,1082,1242,1421,1621,1814,1984,2113,NA,NA
20494,223,156,China,Datong,40.080522,113.293045,NA,NA,NA,223,201,249,358,390,432,493,565,743,917,981,1049,1188,1351,1532,1707,1866,1988,NA,NA
20499,231,156,China,Dongguan,23.02116,113.741411,NA,NA,NA,231,92,95,99,104,114,125,137,237,553,1416,3631,5193,7118,7435,7731,8263,8701,NA,NA
20506,242,156,China,Foshan,23.022778,113.119953,NA,NA,NA,242,103,137,183,243,323,429,570,758,1008,1965,3832,5118,6653,7036,7399,7930,8353,NA,NA
20509,245,156,China,Fushun Liaoning,41.880737,123.946698,NA,NA,NA,245,637,680,727,776,829,906,991,1115,1289,1323,1358,1341,1320,1298,1319,1414,1508,NA,NA
20513,249,156,China,Fuzhou Fujian,26.075352,119.298946,NA,NA,NA,249,301,350,407,473,549,638,742,978,1403,1678,2009,2370,2793,3283,3739,4092,4335,NA,NA
20517,261,156,China,Guangzhou Guangdong,23.125457,113.257374,NA,NA,NA,261,1049,1155,1272,1401,1542,1698,1870,2308,3072,4745,7330,8485,9620,12458,15174,16744,17574,41,40
20518,263,156,China,Guilin,25.28194,110.28639,NA,NA,NA,263,126,160,203,253,296,346,404,475,561,672,805,881,958,1040,1127,1226,1310,1,1
20519,265,156,China,Guiyang,26.58333,106.71667,NA,NA,NA,265,249,298,425,633,702,754,809,912,1080,1417,1860,2164,2496,2871,3225,3521,3734,4,4
20523,273,156,China,Handan,36.60056,114.46778,NA,NA,NA,273,69,89,114,147,190,245,316,408,525,653,811,1024,1296,1634,1950,2164,2304,NA,NA
20524,274,156,China,Hangzhou,30.29365,120.16142,NA,NA,NA,274,610,761,948,974,1027,1083,1141,1291,1476,2160,3160,4027,5082,6391,7597,8365,8822,14,15
20529,277,156,China,Hefei,31.86389,117.28083,NA,NA,NA,277,145,214,316,461,518,588,751,917,1100,1298,1532,2141,3027,3348,3622,3920,4152,NA,NA
20533,281,156,China,Hengyang,26.884064,112.62509,NA,NA,NA,281,97,120,147,180,221,272,334,410,504,632,793,936,1103,1301,1488,1637,1746,NA,NA
20543,288,156,China,Huai'an,33.606953,119.014801,NA,NA,NA,288,64,79,97,119,146,179,219,269,330,520,818,1111,1494,2000,2482,2774,2951,NA,NA
20546,291,156,China,Huainan,32.62639,116.99694,NA,NA,NA,291,253,312,385,464,508,555,606,663,724,872,1049,1141,1232,1327,1431,1554,1657,NA,NA
20551,286,156,China,Hohhot,40.81056,111.65222,NA,NA,NA,286,122,169,234,318,365,419,481,552,635,798,1005,1220,1478,1785,2071,2282,2429,2,2
20553,294,156,China,Huizhou,23.08333,114.4,NA,NA,NA,294,49,58,70,83,100,119,143,171,205,453,1003,1358,1775,2312,2817,3134,3330,NA,NA
20560,299,156,China,Jiangmen,22.58333,113.08333,NA,NA,NA,299,88,97,107,117,129,143,157,173,190,399,834,1119,1454,1572,1684,1825,1943,NA,NA
20566,306,156,China,Jilin,43.85083,126.56028,NA,NA,NA,306,394,466,550,637,606,672,777,914,1090,1195,1311,1381,1450,1520,1610,1740,1854,NA,NA
20567,308,156,China,Ji'nan Shandong,36.676721,116.997142,NA,NA,NA,308,576,760,1003,1086,1060,1150,1260,1506,1923,2134,2592,3018,3493,4032,4537,4947,5234,1,1
20572,315,156,China,Jining Shandong,35.414595,116.584704,NA,NA,NA,315,72,98,133,182,248,339,462,633,871,984,1112,1200,1291,1385,1489,1616,1722,NA,NA
20576,318,156,China,Jinzhou,41.10778,121.14167,NA,NA,NA,318,160,217,246,279,316,347,381,460,592,675,770,851,940,1035,1132,1235,1319,NA,NA
20584,326,156,China,Kaohsiung,22.625962,120.31546,NA,NA,NA,326,256,341,454,605,807,986,1160,1287,1372,1431,1488,1504,1514,1523,1569,1686,1796,3,3
20590,330,156,China,Kunming,25.03889,102.71833,NA,NA,NA,330,334,364,397,433,472,515,561,738,1100,1691,2600,2989,3365,3780,4178,4540,4805,16,15
20592,338,156,China,Lanzhou,36.05639,103.79222,NA,NA,NA,338,336,445,589,768,863,945,1033,1146,1290,1561,1890,2143,2419,2723,3017,3284,3485,1,1
20597,342,156,China,Lianyungang,34.59687,119.175775,NA,NA,NA,342,130,147,166,187,211,239,270,305,344,442,567,709,884,1099,1301,1444,1542,NA,NA
