eYearBegin,eYearEnd,cityCodeOri,nameOri,cityCodeDes,nameDes,transportModeCode,length,notes
1940,,22922,Atlanta,23032,Knoxville,1,248,air
1940,,23032,Knoxville,22922,Atlanta,1,248,air
1940,,22922,Atlanta,23032,Knoxville,1,248,air
1940,,23032,Knoxville,22922,Atlanta,1,248,air
1940,,22922,Atlanta,23032,Knoxville,1,248,air
1940,,23032,Knoxville,22922,Atlanta,1,248,air
1940,,20588,Kuerle,20704,Ürümqi (Wulumqi),1,258,air
1940,,20704,Ürümqi (Wulumqi),20588,Kuerle,1,258,air
1940,,22556,Palma,22567,Valencia,1,260,air
1940,,22567,Valencia,22556,Palma,1,260,air
1940,,204332,Frankfurt am Main,204343,Hannover,1,261,air
1940,,204343,Hannover,204332,Frankfurt am Main,1,261,air
1940,,21778,Riga,21789,Vilnius,1,261,air
1940,,21789,Vilnius,21778,Riga,1,261,air
1940,,22860,London,22862,Manchester,1,262,air
1940,,22862,Manchester,22860,London,1,262,air
1940,,22860,London,22862,Manchester,1,262,air
1940,,22862,Manchester,22860,London,1,262,air
1940,,22860,London,22862,Manchester,1,262,air
1940,,22862,Manchester,22860,London,1,262,air
1940,,20910,Quito,20903,Guayaquil,1,264,air
1940,,22042,Islamabad,22046,Lahore,1,268,air
1940,,22046,Lahore,22042,Islamabad,1,268,air
1940,,206459,Kinki M.M.A. (Osaka),21640,Matsuyama,1,273,air
1940,,21640,Matsuyama,206459,Kinki M.M.A. (Osaka),1,273,air
1940,,23088,Oklahoma City,23046,Denton-Lewisville,1,273,air
1940,,23046,Denton-Lewisville,23088,Oklahoma City,1,273,air
1940,,22167,Lisboa (Lisbon),22168,Porto,1,274,air
1940,,22168,Porto,22167,Lisboa (Lisbon),1,274,air
1940,,22167,Lisboa (Lisbon),22168,Porto,1,274,air
1940,,22168,Porto,22167,Lisboa (Lisbon),1,274,air
1940,,22167,Lisboa (Lisbon),22168,Porto,1,274,air
1940,,22168,Porto,22167,Lisboa (Lisbon),1,274,air
1940,,23277,Lusaka,23279,Ndola,1,276,air
1940,,23279,Ndola,23277,Lusaka,1,276,air
1940,,22926,Austin,22966,Dallas-Fort Worth,1,276,air
1940,,22966,Dallas-Fort Worth,22926,Austin,1,276,air
1940,,22926,Austin,22966,Dallas-Fort Worth,1,276,air
1940,,22966,Dallas-Fort Worth,22926,Austin,1,276,air
1940,,20373,Edmonton,20370,Calgary,1,280,air
1940,,20370,Calgary,20373,Edmonton,1,280,air
1940,,20370,Calgary,20373,Edmonton,1,280,air
1940,,22952,Charleston-North Charleston,22954,Charlotte,1,282,air
1940,,22954,Charlotte,22952,Charleston-North Charleston,1,282,air
1940,,22952,Charleston-North Charleston,22954,Charlotte,1,282,air
1940,,22954,Charlotte,22952,Charleston-North Charleston,1,282,air
1940,,21176,Bangalore,21321,Chennai (Madras),1,288,air
1940,,21321,Chennai (Madras),21176,Bangalore,1,288,air
1940,,21176,Bangalore,21321,Chennai (Madras),1,288,air
1940,,21321,Chennai (Madras),21176,Bangalore,1,288,air
1940,,23009,Hartford,23098,Philadelphia,1,290,air
1940,,21671,Tokyo,21627,Kanazawa,1,290,air
1940,,21627,Kanazawa,21671,Tokyo,1,290,air
1940,,21735,Jeju,21757,Busan,1,291,air
1940,,21757,Busan,21735,Jeju,1,291,air
1940,,21735,Jeju,21757,Busan,1,291,air
1940,,21757,Busan,21735,Jeju,1,291,air
1940,,204332,Frankfurt am Main,204439,Leipzig,1,293,air
1940,,204439,Leipzig,204332,Frankfurt am Main,1,293,air
1940,,22602,Genève,20982,Nice-Cannes,1,293,air
1940,,20982,Nice-Cannes,22602,Genève,1,293,air
1940,,21891,Dar-el-Beida (Casablanca),21903,Tanger,1,294,air
1940,,21903,Tanger,21891,Dar-el-Beida (Casablanca),1,294,air
1940,,21823,Acapulco de Juárez,21853,Ciudad de México (Mexico City),1,296,air
1940,,21853,Ciudad de México (Mexico City),21823,Acapulco de Juárez,1,296,air
1940,,23237,Adan (Aden),23239,Sana'a',1,298,air
1940,,23239,Sana'a',23237,Adan (Aden),1,298,air
1940,,20809,Bucaramanga,20837,Bogotá,1,299,air
1940,,20837,Bogotá,20809,Bucaramanga,1,299,air
1940,,20837,Bogotá,20809,Bucaramanga,1,299,air
1940,,22632,Abu Zaby (Abu Dhabi),22179,Ad-Dawhah (Doha),1,300,air
1940,,22179,Ad-Dawhah (Doha),22632,Abu Zaby (Abu Dhabi),1,300,air
1940,,20837,Bogotá,20812,Cali,1,300,air
1940,,20812,Cali,20837,Bogotá,1,300,air
1940,,20812,Cali,20837,Bogotá,1,300,air
1940,,23014,Houston,23128,San Antonio,1,304,air
1940,,23128,San Antonio,23014,Houston,1,304,air
1940,,23014,Houston,23128,San Antonio,1,304,air
1940,,23128,San Antonio,23014,Houston,1,304,air
1940,,204332,Frankfurt am Main,204371,München (Munich),1,304,air
1940,,204371,München (Munich),204332,Frankfurt am Main,1,304,air
1940,,22939,Boston,23083,New York-Newark,1,304,air
1940,,23083,New York-Newark,22939,Boston,1,304,air
1940,,22939,Boston,23083,New York-Newark,1,304,air
1940,,23083,New York-Newark,22939,Boston,1,304,air
1940,,21958,Christchurch,21962,Wellington,1,305,air
1940,,21113,Athínai (Athens),21117,Thessaloniki,1,307,air
1940,,21117,Thessaloniki,21113,Athínai (Athens),1,307,air
1940,,21113,Athínai (Athens),21117,Thessaloniki,1,307,air
1940,,21117,Thessaloniki,21113,Athínai (Athens),1,307,air
1940,,204332,Frankfurt am Main,22606,Zürich (Zurich),1,307,air
1940,,22606,Zürich (Zurich),204332,Frankfurt am Main,1,307,air
1940,,22922,Atlanta,22962,Columbia South Carolina,1,312,air
1940,,22962,Columbia South Carolina,22922,Atlanta,1,312,air
1940,,22922,Atlanta,22962,Columbia South Carolina,1,312,air
1940,,22962,Columbia South Carolina,22922,Atlanta,1,312,air
1940,,22962,Columbia South Carolina,22922,Atlanta,1,312,air
1940,,22046,Lahore,22048,Multan,1,312,air
1940,,22048,Multan,22046,Lahore,1,312,air
1940,,206411,Kuala Lumpur,22447,Singapore,1,316,air
1940,,22447,Singapore,206411,Kuala Lumpur,1,316,air
1940,,206411,Kuala Lumpur,22447,Singapore,1,316,air
1940,,22447,Singapore,206411,Kuala Lumpur,1,316,air
1940,,22926,Austin,23046,Denton-Lewisville,1,317,air
1940,,23046,Denton-Lewisville,22926,Austin,1,317,air
1940,,20144,Bruxelles-Brussel,204332,Frankfurt am Main,1,317,air
1940,,20144,Bruxelles-Brussel,204332,Frankfurt am Main,1,317,air
