cityCode,index,countryCode,countryName,urbanAgglomeration,latitude,longitude,radius,yearMotorway,yearHST,Index,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,nbOri,nbDes
20272,120,76,Brazil,Rio de Janeiro,-22.90278,-43.2075,NA,NA,NA,120,3026,3687,4493,5523,6791,7733,8784,9242,9697,10432,11307,11832,12374,12902,13326,13789,14174,1,1
20275,121,76,Brazil,Salvador,-12.97111,-38.51083,NA,NA,NA,121,403,520,671,847,1069,1341,1683,1983,2331,2614,2891,3110,3343,3583,3780,3961,4115,NA,NA
20281,77,76,Brazil,Baixada Santista,-23.957,-46.326609,NA,NA,NA,77,242,306,386,482,602,735,897,993,1095,1198,1309,1383,1461,1539,1609,1691,1769,NA,NA
20286,97,76,Brazil,Grande São Luís,-2.538539,-44.283186,NA,NA,NA,97,120,137,158,203,263,342,445,548,672,843,1064,1179,1304,1437,1547,1638,1714,NA,NA
20287,124,76,Brazil,São Paulo,-23.5475,-46.63611,NA,NA,NA,124,2334,3044,3970,5494,7620,9614,12089,13395,14776,15913,17014,18288,19660,21066,22119,22899,23444,10,11
20305,98,76,Brazil,Grande Vitória,-20.305424,-40.307915,NA,NA,NA,98,85,121,171,241,339,493,716,871,1052,1188,1314,1416,1524,1636,1732,1825,1908,NA,NA
20327,132,100,Bulgaria,Sofia,42.69751,23.32415,NA,NA,NA,132,522,616,708,806,888,977,1074,1181,1191,1168,1128,1169,1200,1226,1241,1242,1230,9,8
20333,1112,104,Myanmar,Mandalay,21.97473,96.08359,NA,NA,NA,1112,167,205,250,306,374,442,499,563,636,718,810,915,1033,1167,1323,1489,1654,NA,NA
20339,1116,104,Myanmar,Yangon,16.80528,96.15611,NA,NA,NA,1116,1302,1440,1592,1760,1946,2151,2378,2629,2907,3213,3553,3928,4342,4802,5358,5971,6578,1,1
20348,60,112,Belarus,Minsk,53.9,27.56667,NA,NA,NA,60,284,414,551,719,932,1120,1320,1481,1618,1654,1700,1775,1847,1915,1953,1960,1942,NA,NA
20357,137,116,Cambodia,Phnum Pénh (Phnom Penh),11.56245,104.91601,NA,NA,NA,137,364,376,389,436,900,100,238,427,615,836,1149,1317,1510,1731,1979,2262,2584,NA,NA
20362,140,120,Cameroon,Douala,4.04827,9.70428,NA,NA,NA,140,95,117,153,205,298,433,571,740,940,1184,1490,1876,2361,2943,3503,4114,4774,NA,NA
20365,143,120,Cameroon,Yaoundé,3.86667,11.51667,NA,NA,NA,143,32,49,75,112,183,292,415,578,777,1025,1351,1781,2349,3066,3759,4444,5158,NA,NA
20370,144,124,Canada,Calgary,51.044072,-114.059314,NA,NA,NA,144,132,186,262,320,389,457,568,656,738,809,927,1056,1190,1337,1464,1554,1630,14,12
20373,145,124,Canada,Edmonton,53.543409,-113.503721,NA,NA,NA,145,163,228,318,389,477,543,623,756,831,859,924,1017,1137,1272,1389,1474,1547,8,8
20384,150,124,Canada,Montréal,45.50884,-73.58781,NA,NA,NA,150,1343,1652,2031,2373,2684,2791,2824,2904,3154,3305,3429,3603,3791,3981,4158,4343,4517,4,4
20387,152,124,Canada,Ottawa-Gatineau,45.416598,-75.697997,NA,NA,NA,152,282,342,415,482,581,676,729,803,918,988,1055,1122,1218,1326,1422,1503,1577,1,1
20402,155,124,Canada,Toronto,43.70011,-79.4163,NA,NA,NA,155,1068,1365,1744,2093,2535,2770,3008,3355,3807,4197,4607,5035,5499,5993,6407,6708,6957,14,14
20404,156,124,Canada,Vancouver,49.24966,-123.11934,NA,NA,NA,156,556,588,620,836,1045,1150,1247,1359,1559,1789,1959,2093,2278,2485,2665,2806,2930,14,15
20420,161,148,Chad,N'Djaména,12.10672,15.0444,NA,NA,NA,161,25,42,71,109,155,231,324,393,477,579,703,854,1038,1260,1535,1893,2347,1,1
20439,166,152,Chile,Santiago,-33.45694,-70.64827,NA,NA,NA,166,1322,1618,1980,2294,2647,3138,3721,4201,4616,5102,5658,6025,6269,6507,6707,6933,7122,5,5
20451,173,156,China,Anshan,41.12361,122.99,NA,NA,NA,173,455,622,850,887,813,878,967,1085,1234,1307,1384,1442,1501,1559,1641,1771,1886,NA,NA
20453,175,156,China,Anyang,36.094436,114.35034,NA,NA,NA,175,113,134,158,187,221,261,308,358,410,474,548,697,893,1140,1373,1529,1633,NA,NA
20458,179,156,China,Baoding,38.85111,115.49028,NA,NA,NA,179,174,214,264,317,338,361,385,422,471,645,884,963,1033,1106,1187,1290,1377,NA,NA
20459,180,156,China,Baoji,34.365118,107.200449,NA,NA,NA,180,118,139,162,191,226,267,317,378,452,537,638,743,863,1001,1131,1244,1329,NA,NA
20460,181,156,China,Baotou,40.65222,109.82222,NA,NA,NA,181,104,190,347,608,754,801,835,912,1044,1212,1406,1574,1757,1957,2154,2346,2495,1,1
20464,185,156,China,Beijing,39.9075,116.39723,NA,NA,NA,185,1671,2365,3900,4582,4426,4828,5366,6017,6788,8305,10162,12813,16190,20384,24201,26494,27706,44,46
20467,187,156,China,Benxi,41.28861,123.765,NA,NA,NA,187,335,371,411,456,505,559,619,685,759,807,857,923,995,1070,1153,1253,1338,NA,NA
20471,194,156,China,Changchun,43.882494,125.293964,NA,NA,NA,194,765,922,1111,1314,1255,1426,1655,1909,2192,2446,2730,3041,3387,3762,4130,4480,4742,7,7
20474,199,156,China,Changsha,28.227394,112.938269,NA,NA,NA,199,577,705,861,772,731,811,830,922,1089,1542,2182,2639,3155,3761,4322,4736,5013,2,2
20476,203,156,China,Changzhou Jiangsu,31.794314,119.958917,NA,NA,NA,203,149,182,221,268,327,397,469,577,730,1039,1478,1927,2235,2584,2913,3185,3381,NA,NA
20478,206,156,China,Chaozhou,23.66513,116.63786,NA,NA,NA,206,99,103,108,114,127,141,157,214,334,480,691,925,1232,1333,1427,1547,1650,NA,NA
20480,208,156,China,Chengdu,30.66667,104.06667,NA,NA,NA,208,646,1034,1580,1609,1750,1860,2150,2639,2955,3532,4222,5128,6234,7556,8766,9594,10104,14,14
20483,210,156,China,Chifeng,42.264601999999996,118.915236,NA,NA,NA,210,112,127,144,164,186,212,241,276,345,483,677,783,894,1018,1138,1248,1333,NA,NA
20484,212,156,China,Chongqing,29.56278,106.55278,NA,NA,NA,212,1567,1913,2275,2188,2237,2545,2961,3446,4011,5615,7863,9454,11244,13332,15233,16571,17380,11,11
20489,218,156,China,Dalian,38.913811,121.602322,NA,NA,NA,218,716,820,938,1070,1177,1294,1424,1620,1884,2311,2833,3314,3862,4489,5073,5534,5851,7,7
20493,221,156,China,Daqing,46.58333,125,NA,NA,NA,221,181,216,259,309,370,442,529,633,757,905,1082,1242,1421,1621,1814,1984,2113,NA,NA
20494,223,156,China,Datong,40.080522,113.293045,NA,NA,NA,223,201,249,358,390,432,493,565,743,917,981,1049,1188,1351,1532,1707,1866,1988,NA,NA
20499,231,156,China,Dongguan,23.02116,113.741411,NA,NA,NA,231,92,95,99,104,114,125,137,237,553,1416,3631,5193,7118,7435,7731,8263,8701,NA,NA
20506,242,156,China,Foshan,23.022778,113.119953,NA,NA,NA,242,103,137,183,243,323,429,570,758,1008,1965,3832,5118,6653,7036,7399,7930,8353,NA,NA
20509,245,156,China,Fushun Liaoning,41.880737,123.946698,NA,NA,NA,245,637,680,727,776,829,906,991,1115,1289,1323,1358,1341,1320,1298,1319,1414,1508,NA,NA
20513,249,156,China,Fuzhou Fujian,26.075352,119.298946,NA,NA,NA,249,301,350,407,473,549,638,742,978,1403,1678,2009,2370,2793,3283,3739,4092,4335,NA,NA
20517,261,156,China,Guangzhou Guangdong,23.125457,113.257374,NA,NA,NA,261,1049,1155,1272,1401,1542,1698,1870,2308,3072,4745,7330,8485,9620,12458,15174,16744,17574,41,40
20518,263,156,China,Guilin,25.28194,110.28639,NA,NA,NA,263,126,160,203,253,296,346,404,475,561,672,805,881,958,1040,1127,1226,1310,1,1
20519,265,156,China,Guiyang,26.58333,106.71667,NA,NA,NA,265,249,298,425,633,702,754,809,912,1080,1417,1860,2164,2496,2871,3225,3521,3734,4,4
20523,273,156,China,Handan,36.60056,114.46778,NA,NA,NA,273,69,89,114,147,190,245,316,408,525,653,811,1024,1296,1634,1950,2164,2304,NA,NA
20524,274,156,China,Hangzhou,30.29365,120.16142,NA,NA,NA,274,610,761,948,974,1027,1083,1141,1291,1476,2160,3160,4027,5082,6391,7597,8365,8822,14,15
20529,277,156,China,Hefei,31.86389,117.28083,NA,NA,NA,277,145,214,316,461,518,588,751,917,1100,1298,1532,2141,3027,3348,3622,3920,4152,NA,NA
20533,281,156,China,Hengyang,26.884064,112.62509,NA,NA,NA,281,97,120,147,180,221,272,334,410,504,632,793,936,1103,1301,1488,1637,1746,NA,NA
20543,288,156,China,Huai'an,33.606953,119.014801,NA,NA,NA,288,64,79,97,119,146,179,219,269,330,520,818,1111,1494,2000,2482,2774,2951,NA,NA
20546,291,156,China,Huainan,32.62639,116.99694,NA,NA,NA,291,253,312,385,464,508,555,606,663,724,872,1049,1141,1232,1327,1431,1554,1657,NA,NA
20551,286,156,China,Hohhot,40.81056,111.65222,NA,NA,NA,286,122,169,234,318,365,419,481,552,635,798,1005,1220,1478,1785,2071,2282,2429,2,2
20553,294,156,China,Huizhou,23.08333,114.4,NA,NA,NA,294,49,58,70,83,100,119,143,171,205,453,1003,1358,1775,2312,2817,3134,3330,NA,NA
20560,299,156,China,Jiangmen,22.58333,113.08333,NA,NA,NA,299,88,97,107,117,129,143,157,173,190,399,834,1119,1454,1572,1684,1825,1943,NA,NA
20566,306,156,China,Jilin,43.85083,126.56028,NA,NA,NA,306,394,466,550,637,606,672,777,914,1090,1195,1311,1381,1450,1520,1610,1740,1854,NA,NA
20567,308,156,China,Ji'nan Shandong,36.676721,116.997142,NA,NA,NA,308,576,760,1003,1086,1060,1150,1260,1506,1923,2134,2592,3018,3493,4032,4537,4947,5234,1,1
20572,315,156,China,Jining Shandong,35.414595,116.584704,NA,NA,NA,315,72,98,133,182,248,339,462,633,871,984,1112,1200,1291,1385,1489,1616,1722,NA,NA
20576,318,156,China,Jinzhou,41.10778,121.14167,NA,NA,NA,318,160,217,246,279,316,347,381,460,592,675,770,851,940,1035,1132,1235,1319,NA,NA
20584,326,156,China,Kaohsiung,22.625962,120.31546,NA,NA,NA,326,256,341,454,605,807,986,1160,1287,1372,1431,1488,1504,1514,1523,1569,1686,1796,3,3
20590,330,156,China,Kunming,25.03889,102.71833,NA,NA,NA,330,334,364,397,433,472,515,561,738,1100,1691,2600,2989,3365,3780,4178,4540,4805,16,15
20592,338,156,China,Lanzhou,36.05639,103.79222,NA,NA,NA,338,336,445,589,768,863,945,1033,1146,1290,1561,1890,2143,2419,2723,3017,3284,3485,1,1
20597,342,156,China,Lianyungang,34.59687,119.175775,NA,NA,NA,342,130,147,166,187,211,239,270,305,344,442,567,709,884,1099,1301,1444,1542,NA,NA
20604,351,156,China,Linyi Shandong,35.054142,118.333365,NA,NA,NA,351,15,22,31,44,63,89,128,182,260,542,1130,1333,1510,1706,1896,2070,2204,NA,NA
20606,357,156,China,Liuzhou,24.301725,109.378368,NA,NA,NA,357,118,194,232,267,314,370,435,522,637,809,1027,1201,1396,1619,1830,2006,2137,NA,NA
20612,365,156,China,Luoyang,34.618562,112.456179,NA,NA,NA,365,145,191,251,339,392,459,538,625,725,938,1213,1443,1708,2015,2302,2527,2688,NA,NA
20619,373,156,China,Mianyang Sichuan,31.483888,104.737019,NA,NA,NA,373,74,86,101,119,139,163,191,224,289,468,758,864,960,1065,1170,1277,1364,NA,NA
20622,376,156,China,Nanchang,28.68333,115.88333,NA,NA,NA,376,343,440,564,675,615,688,788,861,912,1226,1648,1915,2203,2527,2834,3095,3285,2,2
20623,377,156,China,Nanchong,30.79508,106.08474,NA,NA,NA,377,156,170,186,200,206,212,218,241,279,411,606,735,880,1050,1210,1335,1426,NA,NA
20625,378,156,China,Nanjing Jiangsu,32.048183,118.789812,NA,NA,NA,378,1037,1130,1230,1340,1459,1589,1731,2144,2893,3518,4279,5137,6162,7369,8476,9260,9754,7,7
20626,380,156,China,Nanning,22.81667,108.31667,NA,NA,NA,380,143,225,323,443,432,509,621,690,759,1118,1624,2072,2619,3234,3800,4188,4438,3,3
20628,381,156,China,Nantong,31.990413,120.865451,NA,NA,NA,381,243,273,305,280,292,328,371,418,470,688,1006,1271,1588,1978,2342,2591,2755,NA,NA
20629,382,156,China,Nanyang   Henan,32.999941,112.52593,NA,NA,NA,382,44,66,99,138,146,154,162,187,228,392,672,785,892,1011,1127,1235,1320,NA,NA
20631,384,156,China,Ningbo,29.87819,121.54945,NA,NA,NA,384,282,309,338,366,377,401,447,525,634,1021,1643,2064,2547,3132,3674,4047,4290,3,3
20639,394,156,China,Putian,25.43944,119.01028,NA,NA,NA,394,79,94,111,132,157,186,221,262,311,437,613,818,1086,1438,1771,1980,2111,NA,NA
20641,397,156,China,Qingdao,36.09861,120.37194,NA,NA,NA,397,751,913,902,895,906,933,1095,1460,2101,2486,2940,3411,3952,4566,5139,5601,5920,5,6
20644,400,156,China,Qinhuangdao,39.93167,119.58833,NA,NA,NA,400,91,106,125,147,173,203,238,289,358,501,702,825,958,1109,1253,1376,1470,NA,NA
20646,402,156,China,Qiqihaer,47.34083,123.96722,NA,NA,NA,402,313,367,431,505,591,693,812,952,1115,1151,1188,1269,1358,1452,1556,1687,1798,NA,NA
20648,404,156,China,Quanzhou,24.896763,118.599688,NA,NA,NA,404,104,110,116,122,129,136,143,152,174,356,728,926,1139,1395,1635,1808,1928,NA,NA
20656,416,156,China,Shanghai,31.22222,121.45806,NA,NA,NA,416,4301,5846,6820,6428,6036,5627,5966,6847,7823,10450,13959,16763,19980,23741,27137,29442,30751,51,50
20659,420,156,China,Shantou,23.36814,116.71479,NA,NA,NA,420,270,287,305,325,345,380,420,528,725,1457,2931,3326,3623,3949,4281,4631,4899,NA,NA
20663,423,156,China,Shaoxing,30.011,120.5715,NA,NA,NA,423,64,79,96,118,144,176,215,316,525,768,1124,1392,1702,2076,2423,2672,2841,NA,NA
20666,426,156,China,Shenyang,41.79222,123.43278,NA,NA,NA,426,2148,2408,2699,2924,3156,3291,3418,3537,3651,4081,4562,5089,5676,6315,6932,7503,7911,6,6
20667,427,156,China,Shenzhen,22.541487,114.063427,NA,NA,NA,427,3,5,8,13,22,36,58,175,875,2394,6550,8409,10223,10749,11287,12067,12673,18,18
20669,429,156,China,Shijiazhuang,38.041845,114.510846,NA,NA,NA,429,272,407,505,609,692,825,991,1172,1372,1621,1914,2288,2737,3264,3753,4117,4362,NA,NA
20677,442,156,China,Suqian,33.968102,118.292384,NA,NA,NA,442,1,1,3,5,9,17,32,61,114,212,397,558,767,1050,1323,1488,1591,NA,NA
20678,444,156,China,Suzhou  Jiangsu,31.302068,120.585259,NA,NA,NA,444,457,486,516,536,508,530,556,718,1067,1501,2112,2908,3997,5472,6876,7669,8098,NA,NA
20681,445,156,China,Taian  Shandong,36.190371,117.119081,NA,NA,NA,445,4,6,12,21,37,65,116,206,367,577,910,1020,1117,1220,1326,1444,1541,NA,NA
20682,447,156,China,Taichung,24.141613,120.67274,NA,NA,NA,447,198,242,295,360,440,537,607,682,765,864,978,1058,1140,1225,1318,1432,1528,NA,NA
20684,449,156,China,Taipei,25.047009,121.54568,NA,NA,NA,449,503,684,930,1265,1720,2023,2273,2497,2737,2698,2630,2638,2654,2666,2742,2938,3116,25,26
20685,452,156,China,Taiyuan  Shanxi,37.861899,112.551572,NA,NA,NA,452,197,262,350,466,622,829,1106,1376,1637,2024,2503,2809,3131,3482,3824,4152,4396,NA,NA
20686,453,156,China,Taizhou Jiangsu,32.494536,119.902861,NA,NA,NA,453,11,16,24,35,52,76,111,162,238,432,784,919,1045,1184,1319,1444,1541,NA,NA
20687,455,156,China,Tangshan Hebei,39.628484,118.179931,NA,NA,NA,455,448,507,574,649,646,692,758,922,996,1188,1418,1765,2204,2743,3244,3582,3801,NA,NA
